rank,task,scenario,model,model_type,features,n_features,sensor_subset,input_strategy,segment,input_length_pct,rmse,r2,mae,eval_mode
1,H11_S3_T1,H11_S3,feature_gru,DL,Delta+Meta,15,AC+vT+vS,prefix,-,80,0.081977,,,observed_vb
2,H11_S3_T2,H11_S3,feature_gru,DL,Delta+Meta,19,AC+vT+vS+aT,prefix,-,80,0.082433,,,observed_vb
3,H11_S3_T3,H11_S3,feature_gru,DL,Delta+Meta,15,AC+vS+aT,prefix,-,80,0.084082,,,observed_vb
4,H11_S2_T1,H11_S2,feature_gru,DL,Delta+Meta,11,AC+vS,prefix,-,80,0.085274,,,observed_vb
5,H11_S2_T2,H11_S2,feature_gru,DL,Delta+Meta,19,AC+vT+vS+aS,prefix,-,80,0.085905,,,observed_vb
6,S5_T1,S5,feature_gru,DL,Delta+Meta,27,all_6,prefix,-,80,0.090773,0.628631,0.073423,all_vb
7,H11_S2_T0,H11_S2,feature_gru,DL,Delta+Meta,27,all_6,prefix,-,80,0.093629,,,observed_vb
8,S1_T4,S1,feature_gru,DL,Delta+Meta,27,all_6,prefix,-,80,0.094549,0.623757,0.07552,all_vb
9,S8_T1,S8,ensemble_avg,hybrid,Delta+Meta,27,all_6,prefix,-,80,0.098482,0.701067,0.075496,all_vb
10,H6S3_T5,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,segment,Excl_Exit,100,0.10195,0.504208,0.081444,all_vb
11,H12_S1_T2_90pct,H12_S1,xgboost,ML,Delta+Meta,11,AC+vS,prefix,-,90,0.10366,,,observed_vb
12,H6S3_T6,H6_S3,feature_gru,DL,Delta_ts+Meta,15,all_6,segment,Entry+Steady,100,0.1037,0.460239,0.082985,all_vb
13,H12_S1_T2_80pct,H12_S1,xgboost,ML,Delta+Meta,11,AC+vS,prefix,-,80,0.105246,,,observed_vb
14,H6S3_T2,H6_S3,feature_gru,DL,Delta+Meta,27,all_6,segment,Entry+Steady,100,0.108016,0.370887,0.0869,all_vb
